episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
100,1474.5,12.0,180,-4.999999999999983,13571,-538.5500000000003,1.0000,0.81495,0.0142,64,0,46
101,1488.7,12.5,180,-13.0,13751,-551.5500000000003,1.0000,0.81250,0.0152,64,0,46
102,1502.8,12.4,180,-6.999999999999981,13931,-558.5500000000003,1.0000,0.81004,0.0148,64,0,46
103,1516.7,12.2,180,-13.000000000000059,14111,-571.5500000000004,1.0000,0.80759,0.0149,64,0,46
104,1573.8,13.7,152,-2.5999999999999748,14263,-574.1500000000004,1.0000,0.80552,0.0142,64,1,47
105,1588.7,13.1,167,-5.349999999999976,14430,-579.5000000000005,1.0000,0.80324,0.0150,64,1,48
106,1596.4,6.0,65,-4.249999999999993,14495,-583.7500000000005,1.0000,0.80235,0.0162,64,1,49
107,1600.8,2.7,15,2.2500000000000004,14510,-581.5000000000005,1.0000,0.80215,0.0127,64,1,50
108,1606.5,4.0,36,7.200000000000002,14546,-574.3000000000004,1.0000,0.80166,0.0157,64,1,51
109,1620.8,12.6,180,-11.000000000000023,14726,-585.3000000000004,1.0000,0.79920,0.0153,64,0,51
110,1635.1,12.5,180,-11.000000000000023,14906,-596.3000000000004,1.0000,0.79675,0.0141,64,0,51
111,1648.9,12.1,180,-11.000000000000057,15086,-607.3000000000004,1.0000,0.79429,0.0139,64,0,51
112,1659.5,8.8,106,-0.29999999999999893,15192,-607.6000000000004,1.0000,0.79285,0.0138,64,1,52
113,1673.6,12.4,180,-9.00000000000003,15372,-616.6000000000004,1.0000,0.79039,0.0149,64,0,52
114,1681.5,6.1,68,-0.39999999999999325,15440,-617.0000000000003,1.0000,0.78946,0.0138,64,1,53
115,1695.7,12.5,180,-11.000000000000028,15620,-628.0000000000003,1.0000,0.78701,0.0145,64,0,53
116,1709.7,12.4,180,-4.999999999999982,15800,-633.0000000000003,1.0000,0.78456,0.0155,64,0,53
117,1723.8,12.4,180,-6.999999999999991,15980,-640.0000000000003,1.0000,0.78210,0.0137,64,0,53
118,1737.9,12.4,180,-4.999999999999985,16160,-645.0000000000003,1.0000,0.77965,0.0141,64,0,53
119,1797.3,14.0,180,-15.000000000000085,16340,-660.0000000000005,1.0000,0.77719,0.0147,64,0,53
120,1804.6,5.6,85,-5.2499999999999885,16425,-665.2500000000005,1.0000,0.77603,0.0145,64,1,54
121,1810.0,3.6,3,2.85,16428,-662.4000000000004,1.0000,0.77599,0.0183,64,1,55
122,1815.7,4.0,34,-2.699999999999995,16462,-665.1000000000005,1.0000,0.77553,0.0166,64,1,56
123,1827.9,10.5,127,-9.350000000000009,16589,-674.4500000000005,1.0000,0.77380,0.0137,64,1,57
124,1841.7,12.1,180,-6.999999999999987,16769,-681.4500000000005,1.0000,0.77134,0.0142,64,0,57
