episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size
139,2023.9,12.1,180,-8.179999999999998,18927,-734.9270000000002,100.0000,0.74191,0.0150,64
140,2027.7,2.2,6,0.994,18933,-733.9330000000002,100.0000,0.74183,0.0183,64
141,2034.5,5.2,50,0.95,18983,-732.9830000000002,100.0000,0.74115,0.0144,64
142,2048.0,11.9,180,-12.17999999999992,19163,-745.1630000000001,100.0000,0.73870,0.0153,64
143,2058.6,8.9,110,-7.110000000000027,19273,-752.2730000000001,100.0000,0.73720,0.0135,64
144,2069.8,9.4,115,-9.115000000000004,19388,-761.3880000000001,100.0000,0.73563,0.0148,64
145,2083.5,12.1,180,-4.180000000000052,19568,-765.5680000000002,100.0000,0.73317,0.0153,64
146,2097.3,12.1,180,-8.179999999999948,19748,-773.7480000000002,100.0000,0.73072,0.0144,64
147,2102.6,3.7,31,-1.0309999999999966,19779,-774.7790000000001,100.0000,0.73030,0.0162,64
148,2109.5,5.3,56,-3.056000000000003,19835,-777.8350000000002,100.0000,0.72953,0.0154,64
149,2123.4,12.2,180,-12.179999999999929,20015,-790.0150000000001,100.0000,0.72708,0.0174,64
150,2177.7,12.1,180,-12.179999999999932,20195,-802.195,100.0000,0.72462,0.0414,64
151,2191.2,11.9,180,-14.179999999999975,20375,-816.375,100.0000,0.72217,0.0368,64
152,2195.4,2.5,14,-3.0140000000000007,20389,-819.389,100.0000,0.72198,0.0298,64
153,2202.6,5.6,58,-3.058000000000001,20447,-822.447,100.0000,0.72119,0.0336,64
154,2213.3,9.2,109,-1.1089999999999995,20556,-823.556,100.0000,0.71970,0.0328,64
155,2227.4,12.4,180,-6.179999999999989,20736,-829.736,100.0000,0.71725,0.0308,64
156,2240.9,11.9,180,-10.180000000000003,20916,-839.9159999999999,100.0000,0.71479,0.0318,64
157,2254.4,11.9,180,-12.180000000000005,21096,-852.0959999999999,100.0000,0.71234,0.0282,64
158,2265.5,9.5,114,-5.114000000000019,21210,-857.2099999999999,100.0000,0.71078,0.0265,64
159,2279.4,12.3,180,-12.180000000000007,21390,-869.3899999999999,100.0000,0.70833,0.0261,64
160,2288.7,7.6,89,-5.089000000000003,21479,-874.4789999999999,100.0000,0.70711,0.0271,64
161,2300.4,10.1,126,-5.126000000000028,21605,-879.6049999999999,100.0000,0.70540,0.0270,64
162,2314.2,12.2,156,-11.156000000000022,21761,-890.761,100.0000,0.70327,0.0244,64
163,2328.0,12.2,180,-6.180000000000045,21941,-896.941,100.0000,0.70081,0.0249,64
164,2340.0,10.4,127,-7.12700000000001,22068,-904.0680000000001,100.0000,0.69908,0.0249,64
165,2386.3,3.7,7,0.993,22075,-903.075,100.0000,0.69899,0.0278,64
166,2400.0,12.1,180,-14.17999999999992,22255,-917.255,100.0000,0.69653,0.0230,64
167,2413.8,12.1,180,-14.179999999999945,22435,-931.435,100.0000,0.69408,0.0222,64
168,2427.8,12.4,180,-6.1800000000000095,22615,-937.615,100.0000,0.69162,0.0208,64
169,2441.9,12.5,180,-6.180000000000035,22795,-943.7950000000001,100.0000,0.68917,0.0219,64
170,2455.9,12.4,180,-8.179999999999943,22975,-951.975,100.0000,0.68671,0.0223,64
171,2469.7,12.2,180,-8.179999999999946,23155,-960.155,100.0000,0.68426,0.0212,64
172,2484.3,13.0,173,-11.172999999999943,23328,-971.3279999999999,100.0000,0.68190,0.0202,64
173,2498.1,12.2,180,-10.179999999999929,23508,-981.5079999999998,100.0000,0.67945,0.0203,64
174,2511.7,11.9,180,-12.179999999999957,23688,-993.6879999999998,100.0000,0.67699,0.0196,64
175,2525.6,12.3,180,-4.180000000000001,23868,-997.8679999999997,100.0000,0.67454,0.0206,64
176,2529.7,2.5,13,0.987,23881,-996.8809999999997,100.0000,0.67436,0.0188,64
177,2533.2,1.9,4,0.996,23885,-995.8849999999998,100.0000,0.67430,0.0135,64
178,2544.9,10.1,151,-7.150999999999974,24036,-1003.0359999999997,100.0000,0.67225,0.0196,64
179,2600.2,11.9,180,-10.17999999999999,24216,-1013.2159999999997,100.0000,0.66979,0.0190,64
180,2613.5,11.7,180,-12.179999999999977,24396,-1025.3959999999997,100.0000,0.66734,0.0180,64
181,2623.4,8.3,99,-5.099000000000016,24495,-1030.4949999999997,100.0000,0.66599,0.0190,64
182,2637.2,12.2,155,-9.154999999999962,24650,-1039.6499999999996,100.0000,0.66387,0.0185,64
183,2642.2,3.4,27,-1.0269999999999997,24677,-1040.6769999999997,100.0000,0.66350,0.0200,64
184,2656.0,12.2,180,-14.179999999999971,24857,-1054.8569999999997,100.0000,0.66105,0.0190,64
185,2669.9,12.2,180,-8.18000000000004,25037,-1063.0369999999998,100.0000,0.65859,0.0173,64
186,2683.5,12.0,180,-8.179999999999978,25217,-1071.2169999999999,100.0000,0.65614,0.0179,64
187,2689.0,3.9,35,-3.0350000000000086,25252,-1074.252,100.0000,0.65566,0.0179,64
188,2702.7,12.1,180,-8.180000000000012,25432,-1082.432,100.0000,0.65321,0.0175,64
189,2716.4,12.1,180,-4.179999999999991,25612,-1086.612,100.0000,0.65075,0.0181,64
190,2720.2,2.2,9,-1.0089999999999995,25621,-1087.621,100.0000,0.65063,0.0208,64
191,2730.3,8.5,103,-7.102999999999962,25724,-1094.7240000000002,100.0000,0.64923,0.0173,64
192,2744.1,12.1,180,-16.180000000000025,25904,-1110.9040000000002,100.0000,0.64677,0.0178,64
193,2755.8,10.1,125,-9.124999999999963,26029,-1120.0290000000002,100.0000,0.64507,0.0190,64
194,2812.2,9.6,122,-9.121999999999979,26151,-1129.1510000000003,100.0000,0.64340,0.0188,64
195,2820.1,6.3,68,-1.0679999999999947,26219,-1130.2190000000003,100.0000,0.64248,0.0180,64
196,2833.9,12.1,180,-16.179999999999943,26399,-1146.3990000000001,100.0000,0.64002,0.0175,64
197,2843.2,7.7,88,-3.088000000000013,26487,-1149.487,100.0000,0.63882,0.0170,64
198,2848.1,3.3,26,-3.026000000000004,26513,-1152.5130000000001,100.0000,0.63847,0.0179,64
199,2858.8,9.0,107,-1.1069999999999998,26620,-1153.6200000000001,100.0000,0.63701,0.0189,64
200,2872.5,12.1,180,-12.18,26800,-1165.8000000000002,100.0000,0.63455,0.0172,64
201,2886.1,11.9,180,-16.179999999999975,26980,-1181.9800000000002,100.0000,0.63210,0.0179,64
202,2900.1,12.4,180,-8.179999999999987,27160,-1190.1600000000003,100.0000,0.62964,0.0173,64
203,2909.0,7.2,87,-11.087000000000003,27247,-1201.2470000000003,100.0000,0.62846,0.0186,64
204,2912.7,2.1,7,0.993,27254,-1200.2540000000004,100.0000,0.62836,0.0238,64
205,2926.6,12.3,180,-10.179999999999952,27434,-1210.4340000000004,100.0000,0.62591,0.0168,64
206,2931.7,3.5,27,-1.0269999999999992,27461,-1211.4610000000005,100.0000,0.62554,0.0189,64
207,2945.5,12.2,180,-6.180000000000054,27641,-1217.6410000000005,100.0000,0.62309,0.0180,64
208,2954.6,7.5,90,-3.090000000000002,27731,-1220.7310000000004,100.0000,0.62186,0.0190,64
209,2968.4,12.2,180,-6.180000000000036,27911,-1226.9110000000005,100.0000,0.61940,0.0177,64
210,2982.3,12.2,180,-12.17999999999998,28091,-1239.0910000000006,100.0000,0.61695,0.0168,64
211,3032.4,11.4,120,-3.1199999999999988,28211,-1242.2110000000005,100.0000,0.61531,0.0172,64
212,3040.6,6.6,74,-3.0739999999999976,28285,-1245.2850000000005,100.0000,0.61430,0.0173,64
213,3054.7,12.4,159,-7.159000000000046,28444,-1252.4440000000006,100.0000,0.61214,0.0170,64
214,3068.0,11.6,180,-14.179999999999946,28624,-1266.6240000000005,100.0000,0.60968,0.0178,64
215,3081.8,12.2,180,-8.180000000000028,28804,-1274.8040000000005,100.0000,0.60723,0.0174,64
216,3095.6,12.2,180,-8.179999999999989,28984,-1282.9840000000006,100.0000,0.60477,0.0171,64
217,3109.8,12.5,180,-4.180000000000019,29164,-1287.1640000000007,100.0000,0.60232,0.0169,64
218,3123.7,12.3,180,-6.180000000000011,29344,-1293.3440000000007,100.0000,0.59986,0.0167,64
219,3129.2,3.9,37,-3.0370000000000004,29381,-1296.3810000000008,100.0000,0.59936,0.0153,64
220,3143.2,12.4,180,-10.179999999999952,29561,-1306.5610000000008,100.0000,0.59690,0.0177,64
221,3157.1,12.3,180,-12.179999999999934,29741,-1318.7410000000007,100.0000,0.59445,0.0159,64
222,3171.2,12.4,180,-6.180000000000017,29921,-1324.9210000000007,100.0000,0.59199,0.0177,64
223,3185.0,12.2,180,-12.179999999999993,30101,-1337.1010000000008,100.0000,0.58954,0.0277,64
224,3239.5,13.8,180,-6.1800000000000175,30281,-1343.2810000000009,100.0000,0.58708,0.0349,64
225,3253.0,11.8,180,-10.180000000000023,30461,-1353.461000000001,100.0000,0.58463,0.0321,64
226,3266.8,12.2,180,-12.179999999999922,30641,-1365.6410000000008,100.0000,0.58218,0.0312,64
227,3280.8,12.4,180,-4.180000000000018,30821,-1369.8210000000008,100.0000,0.57972,0.0297,64
228,3293.0,10.5,129,-5.129000000000009,30950,-1374.9500000000007,100.0000,0.57796,0.0283,64
229,3305.5,10.9,140,-9.13999999999995,31090,-1384.0900000000006,100.0000,0.57605,0.0294,64
230,3319.3,12.2,180,-8.180000000000016,31270,-1392.2700000000007,100.0000,0.57360,0.0275,64
231,3332.9,11.9,180,-8.17999999999995,31450,-1400.4500000000007,100.0000,0.57114,0.0273,64
232,3339.3,4.8,49,-7.048999999999997,31499,-1407.4990000000007,100.0000,0.57048,0.0280,64
233,3353.2,12.3,180,-8.179999999999982,31679,-1415.6790000000008,100.0000,0.56802,0.0264,64
234,3366.8,11.9,180,-12.179999999999955,31859,-1427.8590000000008,100.0000,0.56557,0.0265,64
235,3380.7,12.3,180,-6.180000000000053,32039,-1434.039000000001,100.0000,0.56311,0.0246,64
236,3432.5,13.6,180,-14.17999999999997,32219,-1448.219000000001,100.0000,0.56066,0.0263,64
237,3446.2,12.1,180,-8.180000000000051,32399,-1456.399000000001,100.0000,0.55820,0.0256,64
238,3460.4,12.3,180,-6.180000000000024,32579,-1462.579000000001,100.0000,0.55575,0.0242,64
239,3467.3,5.2,52,-1.051999999999997,32631,-1463.631000000001,100.0000,0.55504,0.0238,64
240,3478.5,9.6,119,-11.118999999999994,32750,-1474.750000000001,100.0000,0.55342,0.0245,64
241,3492.6,12.5,180,-4.180000000000012,32930,-1478.930000000001,100.0000,0.55096,0.0237,64
242,3502.5,8.3,97,-1.0969999999999898,33027,-1480.027000000001,100.0000,0.54964,0.0237,64
243,3516.3,12.2,180,-6.18000000000003,33207,-1486.207000000001,100.0000,0.54718,0.0235,64
244,3520.7,2.7,17,0.983,33224,-1485.224000000001,100.0000,0.54695,0.0201,64
245,3529.8,7.6,89,-5.08900000000002,33313,-1490.313000000001,100.0000,0.54574,0.0236,64
246,3543.9,12.4,180,-10.179999999999998,33493,-1500.493000000001,100.0000,0.54328,0.0224,64
